gameId,gameName,status,gameSize,gameLength,lastTick,weatherLocation,weatherDate,DOI,logUrl,CrocodileAgent,AgentUDE,SPOT,maxon17,COLDPower17,VidyutVanika,ewiBroker,fimtac
1,finals_2017_06_1,game_complete,8,1412,1411,cheyenne,2013-06-23,http://dx.doi.org/10.5281/zenodo.818816,https://zenodo.org/record/818816/files/finals_2017_06_1.tar.gz,-4069230.295015,-123061.619748,-108192.145547,0.000000,-124800.209220,-17675.266295,-488694.698060,-4752.698811
2,finals_2017_06_2,game_complete,8,1364,1363,cheyenne,2014-07-22,http://dx.doi.org/10.5281/zenodo.818818,https://zenodo.org/record/818818/files/finals_2017_06_2.tar.gz,-4269708.547287,-38537.600386,-60225.340354,-1651546.465197,-240688.400457,-596975.388983,-48490.282576,-2600.332109
3,finals_2017_06_3,game_complete,8,1459,1457,cheyenne,2014-05-03,http://dx.doi.org/10.5281/zenodo.818820,https://zenodo.org/record/818820/files/finals_2017_06_3.tar.gz,-1755854.893453,95177.306688,-108809.138023,0.000000,-198768.787126,82376.776713,-987205.676488,-3764.914624
4,finals_2017_06_4,game_complete,8,1563,1561,cheyenne,2014-02-10,http://dx.doi.org/10.5281/zenodo.818822,https://zenodo.org/record/818822/files/finals_2017_06_4.tar.gz,-3316641.383394,24940.941159,-100649.032248,-2728668.040797,-44927.406761,-527141.637600,-88144.317841,-5177.090874
5,finals_2017_06_5,game_complete,8,1380,1379,cheyenne,2014-05-23,http://dx.doi.org/10.5281/zenodo.818824,https://zenodo.org/record/818824/files/finals_2017_06_5.tar.gz,-4021717.398662,42413.883793,-161514.748313,0.000000,-399421.694517,43985.702361,-563386.852338,-4034.576542
6,finals_2017_06_6,game_complete,8,1460,1459,cheyenne,2013-10-20,http://dx.doi.org/10.5281/zenodo.818826,https://zenodo.org/record/818826/files/finals_2017_06_6.tar.gz,-6242029.746928,68535.644810,-72394.910628,-1788356.765149,-56412.055114,-52224.629968,-118959.261004,-3128.210903
7,finals_2017_06_7,game_complete,8,1535,1534,cheyenne,2014-06-27,http://dx.doi.org/10.5281/zenodo.818828,https://zenodo.org/record/818828/files/finals_2017_06_7.tar.gz,-4770502.797662,-933.134702,-194510.952380,0.000000,-720937.603520,-424782.903648,-352627.422952,1705.447330
8,finals_2017_06_8,game_complete,8,1569,1568,cheyenne,2013-09-19,http://dx.doi.org/10.5281/zenodo.818830,https://zenodo.org/record/818830/files/finals_2017_06_8.tar.gz,-8043099.964409,-62706.568859,-149307.525753,-2052952.885000,-68256.291459,-162296.152729,-138088.144080,-50807.186206
9,finals_2017_06_9,game_complete,8,1333,1331,cheyenne,2013-11-30,http://dx.doi.org/10.5281/zenodo.818832,https://zenodo.org/record/818832/files/finals_2017_06_9.tar.gz,-1406529.325951,120216.241413,-29521.637004,0.000000,-1515259.638787,12398.670525,-1484258.659807,-25210.906242
10,finals_2017_06_10,game_complete,8,1337,1335,cheyenne,2013-12-13,http://dx.doi.org/10.5281/zenodo.818834,https://zenodo.org/record/818834/files/finals_2017_06_10.tar.gz,-3898645.402679,-38088.517616,-47252.491813,-1548143.691958,-702265.606934,2761.132687,-89235.444999,-2116.524299
11,finals_2017_06_11,game_complete,8,1375,1374,cheyenne,2014-02-19,http://dx.doi.org/10.5281/zenodo.818836,https://zenodo.org/record/818836/files/finals_2017_06_11.tar.gz,-2571079.173350,-13917.092003,-93043.633267,0.000000,-498436.453272,25378.755249,-1241035.637028,-5284.706153
12,finals_2017_06_12,game_complete,8,1376,1374,cheyenne,2013-08-18,http://dx.doi.org/10.5281/zenodo.818838,https://zenodo.org/record/818838/files/finals_2017_06_12.tar.gz,-6110018.315384,-109901.457833,-137262.319766,-1644099.936913,-197802.917032,-810197.057981,-174701.614241,-7874.933970
13,finals_2017_06_13,game_complete,8,1469,1468,cheyenne,2014-10-26,http://dx.doi.org/10.5281/zenodo.818842,https://zenodo.org/record/818842/files/finals_2017_06_13.tar.gz,-5656094.042012,-49942.177504,-77970.257182,0.000000,-1875047.403520,-458840.793779,-375115.279848,-9872.339788
14,finals_2017_06_14,game_complete,8,1445,1444,cheyenne,2014-12-11,http://dx.doi.org/10.5281/zenodo.818844,https://zenodo.org/record/818844/files/finals_2017_06_14.tar.gz,-3379146.628640,-5027.462655,-748842.599018,-1932384.914523,-357261.429836,-160530.628182,-119229.256080,-6037.252722
15,finals_2017_06_15,game_complete,8,1423,1422,cheyenne,2013-04-07,http://dx.doi.org/10.5281/zenodo.818846,https://zenodo.org/record/818846/files/finals_2017_06_15.tar.gz,742712.434653,366251.006239,-110416.847927,0.000000,0.000000,660.972829,-1627659.154349,-474531.927584
16,finals_2017_06_16,game_complete,8,1379,1377,cheyenne,2014-03-14,http://dx.doi.org/10.5281/zenodo.818848,https://zenodo.org/record/818848/files/finals_2017_06_16.tar.gz,-2538055.214943,212476.773736,-66157.160447,-1817182.090085,0.000000,-388812.193675,-79529.455268,-22242.208073
17,finals_2017_06_17,game_complete,8,1414,1413,cheyenne,2013-08-11,http://dx.doi.org/10.5281/zenodo.818850,https://zenodo.org/record/818850/files/finals_2017_06_17.tar.gz,-4675541.595523,-410167.119821,-89689.763350,-1746588.153315,-1347510.325115,-308152.293466,-58208.237883,-9230.999654
18,finals_2017_06_18,game_complete,8,1409,1408,cheyenne,2013-07-11,http://dx.doi.org/10.5281/zenodo.818862,https://zenodo.org/record/818862/files/finals_2017_06_18.tar.gz,-3872953.462666,186839.529888,-123594.480627,-1758853.693198,-152102.353355,-533880.016120,-113522.969168,-6629.411597
19,finals_2017_06_19,game_complete,8,1465,1464,cheyenne,2013-09-16,http://dx.doi.org/10.5281/zenodo.818864,https://zenodo.org/record/818864/files/finals_2017_06_19.tar.gz,-5724939.443647,-222264.855317,-201739.633297,-175425.193629,-1309504.614317,9358.051483,-873589.398953,-13333.779883
20,finals_2017_06_20,game_complete,8,1479,1477,cheyenne,2014-12-04,http://dx.doi.org/10.5281/zenodo.818866,https://zenodo.org/record/818866/files/finals_2017_06_20.tar.gz,-3749569.807485,-485658.880397,-159100.410349,-1932704.727076,-79004.946624,1358.405500,-133790.663882,-4283.701065
21,finals_2017_06_21,game_complete,8,1521,1520,cheyenne,2014-05-20,http://dx.doi.org/10.5281/zenodo.818868,https://zenodo.org/record/818868/files/finals_2017_06_21.tar.gz,-4094407.160331,41015.993970,-220651.915940,-2459056.563333,-879055.077936,-125965.427124,-287712.476835,-8337.703158
22,finals_2017_06_22,game_complete,8,1321,1319,cheyenne,2014-05-29,http://dx.doi.org/10.5281/zenodo.818870,https://zenodo.org/record/818870/files/finals_2017_06_22.tar.gz,-2567612.386519,15015.342534,-93706.613446,-31323.629690,-336182.871198,-93572.452910,-634073.190440,-4109.117851
23,finals_2017_06_23,game_complete,8,1417,1416,cheyenne,2014-07-29,http://dx.doi.org/10.5281/zenodo.818872,https://zenodo.org/record/818872/files/finals_2017_06_23.tar.gz,-3430328.182385,-14984.122432,-150194.862188,-1677199.275603,-1638043.328347,-193110.310211,-110191.675110,-9045.476388
24,finals_2017_06_24,game_complete,8,1330,1329,cheyenne,2014-10-12,http://dx.doi.org/10.5281/zenodo.818874,https://zenodo.org/record/818874/files/finals_2017_06_24.tar.gz,-6950237.643763,-45004.970509,-143578.728975,-1665305.284374,-215712.844954,-185010.898915,-190464.595261,-13769.453000
25,finals_2017_06_25,game_complete,8,1604,1603,cheyenne,2014-05-17,http://dx.doi.org/10.5281/zenodo.818876,https://zenodo.org/record/818876/files/finals_2017_06_25.tar.gz,-3622525.223384,-8759.818764,-192794.762808,-96802.636322,-790005.444307,-8871.973654,-775243.754042,-8010.903033
26,finals_2017_06_26,game_complete,8,1525,1524,cheyenne,2013-09-20,http://dx.doi.org/10.5281/zenodo.818878,https://zenodo.org/record/818878/files/finals_2017_06_26.tar.gz,-8226357.471576,-10054.621132,-94751.938736,-2005324.408274,-124625.068752,-1171234.716203,-137546.703071,-1709.014836
27,finals_2017_06_27,game_complete,8,1505,1504,cheyenne,2014-12-27,http://dx.doi.org/10.5281/zenodo.818880,https://zenodo.org/record/818880/files/finals_2017_06_27.tar.gz,-5200181.903748,-505025.879760,-1500925.627770,-2087499.979026,-600801.545344,-11377.403275,-124162.713230,-1297597.442610
28,finals_2017_06_28,game_complete,8,1525,1524,cheyenne,2014-10-17,http://dx.doi.org/10.5281/zenodo.818882,https://zenodo.org/record/818882/files/finals_2017_06_28.tar.gz,-7030896.296727,-675883.161415,-1731032.959132,-1159709.508719,-298907.271801,6079.565337,-117244.624160,-7609.401292
29,finals_2017_06_29,game_complete,8,1568,1567,cheyenne,2013-06-02,http://dx.doi.org/10.5281/zenodo.818884,https://zenodo.org/record/818884/files/finals_2017_06_29.tar.gz,-4801153.302037,-255959.651186,-261310.098790,-1589842.798491,-1564458.785099,-1115.915791,-150438.771308,-10030.824513
30,finals_2017_06_30,game_complete,8,1326,1325,cheyenne,2014-11-12,http://dx.doi.org/10.5281/zenodo.818886,https://zenodo.org/record/818886/files/finals_2017_06_30.tar.gz,-2363194.661868,-207096.170636,-661639.006189,-1926194.020729,-215373.768229,-188.883034,-209679.477789,-533104.149352
